Fz,Cz,Pz,C3,T3,C4,T4,Fp1,Fp2,F3,F4,F7,F8,P3,P4,T5,T6,O1,O2,Class
226,367,89,226,200,273,89,89,-20,16,347,457,347,347,163,52,437,332,191,c
367,367,273,367,310,273,126,52,-94,-57,310,273,273,126,16,163,50,156,-90,c
226,261,89,226,163,200,-20,16,-167,16,163,273,163,200,89,16,226,226,85,c
191,367,126,297,163,310,236,163,89,16,347,347,347,200,200,89,261,226,156,c
297,226,236,297,236,273,-57,52,-167,-94,163,200,126,52,-131,16,15,85,-90,c
156,297,52,191,52,273,-20,126,16,273,236,420,236,236,89,-57,402,156,226,c
367,332,273,332,236,273,89,163,-20,200,347,273,236,52,-57,89,15,-19,-19,c
297,226,89,226,200,200,-131,126,-278,16,200,273,163,163,-167,-20,121,121,85,c
191,402,126,332,200,310,126,200,-57,-131,384,420,384,236,89,52,261,121,156,c
297,332,273,332,310,200,-57,52,-278,-204,236,273,163,16,-167,52,-55,-19,-125,c
121,332,52,226,126,200,-20,126,-57,163,236,384,200,200,89,-57,297,121,261,c
261,297,236,297,236,236,126,200,52,273,347,236,236,52,16,200,-19,-55,85,c
261,156,126,191,200,163,-131,126,-204,52,163,200,16,89,-167,89,15,15,50,c
121,297,52,261,126,310,52,273,52,-20,347,384,236,236,89,52,226,121,261,c
297,191,236,297,273,273,-20,200,-94,-20,163,126,52,16,-204,52,-125,-19,-19,c
156,191,52,261,126,273,16,200,-57,163,89,236,16,200,-20,-94,261,191,226,c
226,297,236,437,236,384,163,236,16,-94,236,236,126,126,16,126,85,121,50,c
261,226,236,367,236,273,-131,89,-204,-131,52,200,-20,16,-167,163,15,85,-55,c
85,297,126,261,89,273,126,236,126,310,163,384,200,200,163,163,297,121,261,c
261,226,273,297,236,236,126,200,-57,126,89,126,89,-20,-57,163,-90,15,-55,c
121,191,126,261,163,273,-57,236,-131,16,16,273,52,236,16,16,261,226,156,c
156,297,273,402,236,347,163,273,16,16,200,273,236,236,89,126,156,85,50,c
226,226,273,297,273,163,-57,89,-241,16,89,200,52,52,-131,126,15,-55,-160,c
85,226,52,121,89,163,89,163,-20,200,236,310,200,236,200,200,297,50,121,c
261,156,163,191,200,126,126,200,-57,52,273,126,163,52,16,457,-90,-125,-160,c
121,85,-20,85,52,89,-131,163,-131,126,126,163,52,200,16,310,121,-19,15,c
85,191,16,156,52,200,163,310,200,273,273,200,310,163,273,273,121,-19,85,c
85,-19,89,121,126,52,52,200,52,384,16,-20,89,-20,16,236,-160,-90,-55,c
-125,15,-131,50,-20,89,200,236,200,568,52,89,200,200,273,126,191,50,226,c
15,85,52,226,126,200,310,200,163,126,89,16,200,52,163,236,-125,-19,-19,c
-19,85,-57,121,52,126,52,163,-20,-20,-94,126,16,89,52,126,15,85,50,c
-19,191,-20,191,52,200,273,310,163,126,163,273,273,163,200,163,156,121,191,c
85,15,126,191,163,89,89,163,-131,16,52,52,89,16,-57,126,-195,-19,-55,c
-90,50,-94,121,16,126,163,200,-20,163,52,163,200,200,200,-20,121,121,226,c
15,85,89,226,163,200,347,200,89,236,163,52,310,89,163,52,-125,50,85,c
-19,15,52,156,163,89,126,126,-20,200,-57,16,89,89,16,-131,-55,85,85,c
-125,191,-20,191,52,163,347,236,273,310,126,236,273,200,310,-20,191,121,226,c
50,50,126,156,163,52,200,89,89,126,16,52,126,-57,52,163,-160,-55,-90,c
-90,85,-94,50,-20,16,163,89,163,163,-20,273,163,126,236,52,156,156,121,c
-19,156,16,156,52,126,347,126,347,236,89,200,236,89,273,163,-19,85,15,c
15,50,52,156,52,52,16,16,126,236,-94,16,16,-20,52,89,-55,85,-125,c
-55,226,-20,156,-57,89,163,52,310,273,89,200,236,89,273,52,332,226,50,c
191,226,200,332,126,163,126,16,52,-94,52,89,126,-57,16,16,-19,156,-195,c
50,261,16,261,-20,163,-20,16,-131,-94,-131,163,89,163,89,-94,297,261,15,c
50,402,89,332,16,200,236,89,89,52,126,89,200,52,200,52,156,85,-19,c
156,191,89,156,52,16,-20,16,-94,16,52,52,-57,-94,-94,-20,-90,15,-195,c
-19,85,-94,-19,-131,52,89,126,200,273,89,273,89,126,200,-131,226,156,156,c
85,15,126,-125,52,89,163,163,126,384,16,-20,52,16,52,126,15,-19,-90,c
-90,-55,-57,-477,-57,16,16,126,-20,420,-131,-20,-94,126,52,89,332,121,85,c
-125,121,16,-407,-20,163,273,236,236,163,52,52,163,200,236,200,332,191,156,c
15,15,126,-301,126,89,89,126,-20,-57,-167,-94,16,-20,-57,200,15,121,-90,c
-160,15,-20,-336,16,89,163,200,163,347,-94,16,89,163,200,89,367,261,297,c
15,15,200,-160,126,126,273,273,200,273,-20,-94,126,-20,89,126,85,156,85,c
-55,-19,126,-160,52,89,-20,163,16,-20,-167,-20,-20,89,16,-94,191,297,156,c
-90,156,126,-55,52,200,236,236,273,52,52,126,200,200,236,-20,297,332,297,c
50,-19,273,-55,163,89,52,89,52,163,-94,-57,-20,-20,-57,163,-55,156,15,c
-125,-55,89,-160,16,89,52,163,236,384,-94,89,16,163,200,89,332,297,261,c
15,15,273,15,126,163,236,163,273,89,89,16,126,89,126,163,85,191,50,c
15,-19,200,-19,126,89,-20,89,16,52,-94,16,-20,89,16,52,85,226,15,c
-90,50,89,-55,52,89,236,163,347,420,52,126,200,163,310,163,297,226,226,c
50,-19,236,-55,163,-20,163,126,273,163,-57,-94,52,-94,52,273,-90,50,-55,c
-55,15,16,-125,16,16,52,163,236,52,-94,89,52,89,163,-20,226,261,226,c
50,50,126,15,89,89,236,200,347,163,89,16,163,16,163,16,50,191,156,c
85,-90,126,-55,126,-20,16,126,89,163,-94,-131,-20,-94,-57,52,-90,121,50,c
-90,50,-20,-55,16,52,200,163,347,163,126,52,163,126,236,89,226,191,261,c
156,50,126,50,163,16,200,89,163,16,126,-57,89,-57,52,236,-125,15,-19,c
15,15,-57,-55,16,-20,89,52,89,89,52,52,89,89,163,89,85,85,156,c
15,85,-20,50,52,89,310,126,347,16,200,89,273,52,347,163,15,50,121,c
121,-90,16,15,89,-20,89,16,200,89,16,-131,52,-94,126,126,-195,-55,-55,c
-55,-55,-167,-90,-94,-57,273,126,420,384,52,16,200,89,457,126,156,50,297,c
85,-19,52,15,89,-20,420,126,384,273,89,-94,163,-94,273,236,-231,-55,50,c
-19,-55,-94,-90,-20,-94,200,52,236,273,-57,16,52,16,200,89,15,85,191,c
15,121,-20,50,16,89,384,200,457,236,163,89,273,89,347,163,121,121,226,c
156,85,126,85,163,-20,126,89,89,-57,16,-57,52,-131,16,126,-90,121,-19,c
15,191,-20,85,52,16,163,126,200,-20,89,200,126,16,273,16,297,297,261,c
261,191,200,226,236,52,273,126,163,-57,126,16,126,-167,200,126,-19,121,15,c
191,15,126,85,126,16,16,89,-20,-20,-57,-57,-57,-20,52,-57,121,226,156,c
121,85,126,156,89,163,236,236,310,52,163,52,200,89,236,-57,226,261,297,c
261,50,273,191,273,52,52,89,16,-57,52,-94,-20,-131,-94,52,-55,85,15,c
85,121,52,85,126,52,52,89,163,273,52,89,16,16,126,-20,332,156,297,c
191,156,200,191,200,89,200,89,310,273,200,-20,89,-20,126,89,85,50,85,c
156,50,163,191,163,52,-57,16,16,-278,52,52,-94,52,16,16,85,156,50,c
85,226,126,261,126,200,163,89,200,-278,236,236,126,163,236,16,297,191,261,c
226,121,310,261,310,89,89,-20,16,-57,126,-20,52,-94,-57,126,-55,15,15,c
85,85,89,121,126,52,16,52,89,126,52,52,89,52,126,16,261,191,332,c
226,121,163,191,200,126,273,163,273,52,200,52,236,16,200,163,50,85,261,c
261,-19,200,121,236,52,89,89,52,126,16,-57,16,-20,16,126,-55,85,191,c
50,50,89,85,126,163,273,163,236,273,163,126,236,200,273,52,332,191,402,c
261,85,310,226,236,163,200,89,126,16,200,16,163,16,89,52,-55,15,85,c
156,15,126,121,89,126,89,89,126,52,52,89,52,200,236,-57,191,191,297,c
226,50,236,191,163,200,384,200,420,89,163,126,273,200,420,163,156,156,297,c
297,-55,273,121,200,52,89,16,89,-94,16,-20,89,16,126,200,15,-19,50,c
85,15,89,50,16,16,163,-20,236,-20,163,126,273,126,384,126,332,50,297,c
191,-90,273,121,163,16,273,-57,200,-167,200,-94,236,-57,273,236,-90,-90,15,c
50,-301,52,-55,16,-94,89,-94,89,-94,52,-131,126,89,310,126,50,-55,191,c
15,-160,52,-19,16,16,347,52,420,126,273,-57,384,126,457,200,121,-125,261,c
121,-160,163,15,126,-57,163,-57,236,126,163,-204,200,-20,163,89,-160,-195,-19,c
-19,-19,-20,-19,16,16,273,16,384,273,236,-20,310,236,457,-57,261,50,261,c
191,15,236,156,236,89,384,-20,384,163,347,-57,384,89,347,236,15,-90,-19,c
226,-55,200,121,200,16,52,-131,163,126,200,89,200,89,163,200,191,50,50,c
226,121,236,226,200,163,273,-20,420,16,384,310,420,200,384,163,367,156,191,c
367,85,384,226,347,126,163,-94,163,-241,273,126,236,52,163,163,15,85,-55,c
191,121,236,156,236,126,163,16,163,52,273,236,310,273,384,52,367,261,261,c
297,156,384,261,347,236,273,126,163,126,420,89,384,200,310,200,156,121,156,c
297,50,347,191,347,126,16,89,-94,52,200,52,200,163,89,89,156,156,226,c
156,156,200,191,236,200,273,236,236,163,347,310,384,310,384,52,332,191,508,c
297,15,273,191,347,126,310,200,236,126,273,126,273,52,163,200,-90,50,261,c
85,-55,52,15,163,52,236,273,384,457,163,126,236,163,347,163,156,156,508,c
121,15,163,85,200,89,457,310,531,494,310,16,347,52,384,347,15,50,402,c
191,-19,200,50,236,16,200,200,236,236,126,-20,126,16,163,310,-55,50,261,c
50,121,52,50,126,52,347,236,457,384,273,273,273,200,457,236,261,121,508,c
261,50,236,85,273,16,310,200,384,384,273,163,200,-20,273,384,-125,-55,191,c
156,15,52,-19,126,-20,163,200,273,457,236,200,126,89,310,310,121,121,367,c
156,191,163,121,200,126,420,236,420,384,420,236,384,89,384,384,191,156,367,c
261,156,273,156,310,52,200,163,236,310,236,89,163,-20,89,236,15,85,191,c
121,226,126,85,163,89,347,236,420,384,310,236,236,200,384,163,367,261,473,c
297,191,310,261,310,200,420,273,384,89,384,126,236,126,347,384,50,121,191,c
191,156,163,156,273,126,236,200,200,52,236,236,163,200,347,273,226,226,261,c
191,261,200,226,273,200,494,236,457,310,384,310,420,236,531,310,332,156,332,c
297,121,347,226,384,89,273,126,273,310,273,126,200,89,200,347,85,50,85,c
156,191,200,191,236,163,273,236,420,310,347,236,310,310,420,200,437,226,332,c
297,261,347,297,347,236,384,200,384,126,420,126,347,200,347,236,191,50,85,c
297,191,236,191,273,126,126,89,200,236,236,200,163,163,236,52,297,121,85,c
226,297,236,226,236,236,384,163,457,273,310,420,347,310,494,52,473,191,261,c
297,226,420,332,384,236,310,126,273,-20,89,310,163,126,200,126,156,156,50,c
156,297,273,261,236,236,273,163,236,16,126,384,236,310,347,-20,508,367,297,c
297,332,420,367,347,310,347,200,273,16,310,236,310,200,273,126,367,261,156,c
367,261,420,332,347,200,126,126,52,89,163,163,89,163,126,163,367,297,121,c
297,367,384,332,273,236,310,200,273,347,273,273,273,273,384,163,613,437,367,c
367,297,531,402,420,236,273,163,89,126,236,126,200,126,163,200,226,332,156,c
226,297,347,297,273,236,200,163,16,163,200,273,236,347,273,52,473,402,402,c
297,332,420,332,384,347,384,236,163,236,384,236,384,273,310,200,332,297,367,c
367,191,420,332,420,273,163,200,-20,126,200,126,200,163,126,126,226,297,226,c
226,297,310,297,273,347,273,273,273,236,273,273,310,347,384,89,473,367,473,c
332,156,420,297,420,273,310,310,310,310,236,52,236,163,163,310,85,121,261,c
191,50,236,121,273,200,200,310,310,384,89,89,126,273,200,236,261,297,473,c
156,156,273,191,310,310,457,420,568,420,200,126,310,273,347,347,226,261,473,c
226,50,347,156,347,163,273,310,347,457,52,-57,89,126,89,273,15,156,297,c
50,121,163,85,200,163,384,384,531,752,200,89,236,273,384,200,332,226,543,c
226,85,273,121,273,126,420,384,568,641,236,-20,236,89,310,347,-19,50,261,c
156,50,89,50,163,89,273,347,420,384,89,16,126,163,347,200,85,191,332,c
121,156,89,121,126,200,494,420,604,347,273,126,347,236,531,236,191,226,402,c
297,85,236,156,273,163,310,347,310,384,126,-57,163,52,200,310,-55,121,191,c
121,226,89,156,200,163,347,384,494,531,126,163,236,273,420,200,297,297,437,c
191,332,236,297,273,236,420,347,531,236,236,163,236,126,310,310,121,121,156,c
261,332,200,261,200,163,126,236,236,89,163,163,126,163,163,163,332,297,121,c
332,508,200,332,126,273,273,310,347,163,347,273,273,273,310,126,508,367,226,c
578,473,347,437,236,273,163,236,126,89,273,89,89,89,52,163,226,191,-19,c
437,508,126,297,52,236,126,273,200,200,236,236,89,236,200,16,543,297,191,c
473,508,200,332,89,236,200,236,347,163,347,236,163,163,126,126,297,121,50,c
437,332,126,191,89,126,-57,163,52,200,163,236,16,126,-20,52,191,121,15,c
226,367,16,156,-20,163,163,200,200,310,310,347,200,236,236,89,332,226,226,c
332,226,200,226,126,126,89,89,16,163,236,126,89,16,-20,200,-19,85,-90,c
191,191,52,85,16,89,-57,52,-20,163,126,200,52,200,16,-57,261,226,85,c
261,297,163,191,89,200,126,52,89,89,273,200,236,200,52,16,156,156,15,c
297,191,126,156,89,89,-131,-94,-241,-94,126,126,52,89,-167,52,-19,121,-160,c
156,261,16,121,-20,126,-57,16,-131,-131,273,273,236,236,52,16,261,261,121,c
297,191,200,191,126,126,-94,-20,-241,-241,236,126,163,16,-131,16,-125,85,-125,c
121,50,52,50,16,16,-241,-57,-315,-57,52,200,16,52,-94,-241,85,156,50,c
121,156,126,121,52,89,16,52,-94,126,236,163,163,16,16,-57,50,15,50,c
226,50,126,15,89,-94,-204,-20,-315,89,52,16,-57,-131,-204,52,-195,-90,-125,c
15,121,-94,-90,-94,-94,-94,52,-20,273,89,163,52,16,89,-57,121,50,85,c
121,121,89,15,52,-94,52,52,16,163,126,16,89,-167,-20,16,-231,-55,-160,c
50,50,16,-19,16,-94,-94,16,-131,52,-20,16,-57,-57,-94,-94,-19,85,-19,c
50,121,52,50,16,16,163,126,126,126,163,52,126,16,16,16,85,85,121,c
156,-55,163,50,126,-94,-57,52,-57,89,-20,-57,-57,-167,-241,89,-195,-19,-125,c
50,15,-20,-19,-20,-20,-20,89,89,126,52,89,52,52,52,-57,156,156,121,c
121,50,163,121,126,16,126,126,89,126,126,-20,89,-94,16,163,-90,50,-55,c
15,-19,52,50,89,-20,-57,89,-94,126,-94,-94,-57,-57,-94,89,-55,121,-19,c
-90,85,16,50,52,89,126,163,126,89,89,16,163,89,126,126,121,191,121,c
156,15,163,121,163,89,-20,89,-94,-57,-20,-131,16,-57,-131,200,-160,50,-125,c
50,50,-20,15,-20,52,-57,89,-57,52,-57,89,16,126,52,126,191,156,121,c
85,121,126,121,52,126,126,89,16,-20,89,89,126,52,89,310,15,50,-19,c
50,15,126,50,89,89,-94,16,-167,-131,-57,52,-57,52,-94,126,-90,121,-55,c
-55,50,-20,15,-20,163,89,126,89,52,89,126,163,236,126,52,121,226,191,c
156,50,163,121,126,126,52,52,-57,-20,52,-57,89,16,-94,163,-195,-19,-160,c
50,85,-57,15,-57,16,-131,-20,-131,-20,16,163,16,163,16,16,156,85,15,c
85,226,52,121,-20,126,126,16,-57,-94,126,236,163,163,89,163,50,50,-19,c
85,85,89,121,52,89,-94,-94,-278,-204,-94,126,-57,89,-131,89,-125,50,-160,c
-55,121,-20,85,-57,163,52,16,-20,-20,16,236,89,236,126,16,156,156,121,c
85,50,163,156,126,200,89,16,-57,16,52,16,16,52,-131,52,-160,15,-90,c
-19,-19,16,50,52,89,-94,-20,-167,52,-94,89,-57,163,-131,-57,85,191,85,c
-19,156,89,156,89,200,163,16,52,-57,52,200,126,200,52,52,85,226,85,c
15,15,200,226,200,163,16,-57,-167,-241,-94,89,-20,89,-204,-20,-160,226,-90,c
-160,121,52,191,126,236,89,52,-57,-204,52,236,163,273,52,-131,191,367,191,c
50,121,236,261,273,236,200,52,-204,-241,89,89,163,52,-94,89,-90,226,15,c
15,15,89,156,163,126,16,52,-278,-167,-20,126,16,89,-94,-20,15,261,156,c
-55,50,52,156,126,200,236,236,52,89,163,126,200,200,126,16,85,156,297,c
85,-90,163,121,200,89,52,163,-20,236,16,-131,-20,-20,-131,89,-195,-19,15,c
-90,-55,-57,50,52,89,126,200,200,384,-20,-20,52,200,200,-20,191,85,261,c
-19,50,89,191,89,126,236,163,310,89,52,-20,126,89,200,126,-19,-55,15,c
-19,15,16,121,16,52,16,126,163,89,-57,-57,-20,126,126,16,15,-55,-19,c
-90,85,-57,121,-57,163,236,200,384,310,89,52,200,310,347,52,191,-19,156,c
50,-19,89,156,89,126,163,89,236,126,-20,-94,16,126,89,236,-125,-160,-160,c
-90,15,-94,50,-94,89,89,52,347,126,-57,126,52,310,273,89,226,-19,85,c
15,121,52,156,16,200,236,89,384,126,89,163,163,236,200,163,50,-160,-19,c
15,-19,16,50,-20,89,-20,16,52,89,-57,89,-20,200,52,126,-19,-125,-90,c
-125,85,-167,15,-167,126,200,89,236,163,89,236,200,347,347,126,191,-19,121,c
50,50,16,85,16,89,126,16,89,52,52,89,89,163,126,236,-160,-160,-195,c
-55,85,-167,-19,-94,52,16,-20,52,16,-57,236,52,273,163,16,85,15,15,c
-90,121,-94,50,-20,126,236,52,200,89,89,273,236,273,236,163,15,-19,-19,c
15,-19,16,-19,89,16,52,-20,-57,126,-57,163,52,163,-57,163,-125,-55,-160,c
-125,85,-94,-19,-20,89,163,52,200,310,89,310,236,310,236,89,226,85,121,c
50,15,126,121,126,89,200,52,163,126,52,126,200,126,163,236,-125,15,-90,c
-90,-55,16,15,16,52,52,52,126,126,-57,126,89,200,273,163,85,156,85,c
-90,121,52,85,16,163,273,89,347,163,163,236,310,200,420,273,156,50,85,c
85,85,163,85,126,52,52,-57,89,-20,-20,163,89,89,89,273,-19,-19,-90,c
-55,191,52,50,16,89,200,52,236,16,-20,384,236,310,384,89,332,191,226,c
85,156,236,191,200,163,310,89,200,52,16,273,236,163,273,200,50,15,50,c
15,85,126,121,163,89,126,52,89,273,-94,310,126,200,236,126,226,85,191,c
15,191,200,191,163,200,384,200,347,384,89,347,273,273,347,163,367,191,367,c
226,121,347,261,310,200,200,126,52,16,-20,200,89,126,52,200,121,191,121,c
85,191,200,261,200,273,200,236,126,52,16,347,163,347,236,89,473,367,367,c
226,226,384,332,310,310,273,236,163,89,126,273,236,200,126,163,226,226,191,c
191,156,347,261,310,236,16,163,16,16,-20,310,89,200,-20,89,261,261,191,c
121,297,273,261,200,273,236,236,310,89,163,457,273,273,236,89,437,297,367,c
261,226,384,332,347,236,126,163,126,52,89,273,89,89,16,126,85,121,85,c
85,226,126,191,163,200,89,200,163,236,89,384,126,236,163,-20,367,226,367,c
156,297,236,261,236,236,273,273,347,236,310,310,273,163,200,236,191,121,226,c
226,191,200,156,273,89,52,200,126,236,89,163,52,16,-20,236,121,121,156,c
121,226,89,156,163,163,236,347,457,531,200,273,236,163,273,126,367,191,402,c
261,121,273,226,310,163,163,310,347,384,126,52,200,16,52,236,15,15,156,c
85,85,89,121,163,89,16,310,273,420,52,163,126,163,163,163,332,121,332,c
156,226,200,191,200,163,310,384,494,494,200,163,273,126,310,384,261,50,297,c
191,156,200,156,236,52,163,273,273,310,16,16,52,16,126,384,85,85,191,c
15,261,89,121,126,163,347,347,420,457,163,236,273,236,420,273,367,261,473,c
226,191,310,226,310,163,384,310,384,420,200,89,236,52,273,420,15,85,156,c
191,121,163,121,200,89,200,236,310,494,89,163,89,163,310,273,297,226,332,c
226,261,236,226,200,236,420,347,494,604,310,126,310,200,420,273,367,226,402,c
332,156,347,226,310,200,236,236,126,273,163,-20,126,126,126,273,121,226,156,c
191,226,200,156,200,236,347,347,420,236,273,200,273,310,457,163,402,402,402,c
332,226,384,297,347,310,420,310,457,-57,310,126,347,163,347,310,85,261,156,c
261,226,236,226,273,273,200,200,236,-57,163,236,200,200,310,126,226,332,191,c
191,367,236,261,273,347,420,236,347,126,347,310,420,236,494,126,332,332,332,c
332,156,347,261,420,236,273,163,89,236,200,52,273,52,163,236,-55,226,85,c
121,85,163,85,236,236,200,200,200,236,236,200,347,273,347,52,226,402,297,c
226,156,310,261,347,347,347,200,273,-167,347,126,384,236,310,52,-19,332,50,c
191,121,273,226,310,273,163,126,16,-351,163,89,200,200,200,-57,50,367,50,c
121,226,200,261,273,310,347,200,236,-57,347,163,384,236,420,16,297,367,261,c
297,121,384,297,420,236,236,126,163,89,273,-20,236,16,163,126,-19,156,-55,c
156,121,163,121,236,163,163,126,273,347,273,89,236,200,347,16,332,297,191,c
297,226,347,261,347,236,347,200,273,163,494,89,420,163,347,236,226,226,85,c
437,226,347,297,420,200,89,52,-167,-204,347,163,200,89,89,89,226,226,15,c
367,367,236,261,273,200,236,126,89,89,457,384,347,236,310,-57,543,191,261,c
508,332,384,297,384,163,200,89,52,-167,347,236,200,89,89,-20,156,85,-19,c
402,367,200,226,236,163,52,89,-20,-315,273,384,126,273,126,-94,473,261,191,c
473,473,310,297,310,236,273,126,52,-94,494,384,273,200,163,-20,402,85,121,c
543,332,347,226,310,52,16,-20,-241,89,273,200,16,89,-204,-278,226,-55,-90,c
402,437,126,156,126,89,89,89,-20,236,384,347,126,273,16,-351,543,50,121,c
613,402,273,261,310,52,16,16,-204,-204,384,163,16,-20,-241,-20,191,-55,-160,c
543,437,163,191,236,-57,-241,-57,-462,-388,273,273,-131,52,-351,-278,402,121,-90,c
543,578,163,261,200,-20,-57,-20,-278,-241,420,347,-20,126,-278,-499,437,15,-90,c
649,543,200,261,200,-94,-315,-204,-609,-572,200,236,-315,-94,-646,-646,226,-125,-407,c
508,649,-20,191,16,-131,-315,-241,-572,-719,236,384,-278,-57,-425,-683,543,-19,-195,c
649,649,52,261,89,-167,-278,-351,-683,-867,200,163,-351,-351,-609,-499,261,-195,-477,c
613,543,-57,121,-20,-315,-572,-425,-940,-903,16,52,-535,-315,-793,-756,367,-160,-477,c
508,613,-131,85,-131,-315,-499,-388,-646,-683,200,52,-425,-315,-683,-793,437,-266,-442,c
578,437,-131,-19,-167,-499,-719,-535,-830,-646,16,-204,-646,-572,-940,-646,15,-512,-829,c
297,367,-462,-231,-462,-572,-756,-572,-867,-535,-94,-94,-646,-462,-683,-793,191,-477,-688,c
261,261,-425,-195,-425,-535,-609,-609,-867,-756,-57,-278,-572,-572,-719,-756,-160,-618,-864,c
156,50,-535,-301,-535,-646,-903,-719,-1014,-867,-241,-351,-793,-609,-977,-830,-231,-653,-935,c
-19,15,-719,-442,-683,-646,-830,-646,-756,-499,-94,-278,-646,-535,-756,-719,-125,-688,-759,c
85,-160,-609,-477,-572,-719,-903,-719,-940,-535,-278,-425,-793,-756,-1014,-499,-547,-899,-1040,c
-195,-231,-830,-618,-719,-756,-977,-756,-1051,-646,-351,-315,-793,-646,-867,-535,-301,-723,-864,c
-195,-231,-756,-547,-683,-719,-793,-756,-903,-683,-204,-425,-609,-719,-756,-315,-547,-864,-1005,c
-301,-512,-793,-653,-719,-830,-1014,-867,-1087,-683,-499,-572,-793,-793,-867,-462,-688,-829,-1075,c
-512,-442,-903,-653,-830,-719,-756,-719,-756,-609,-425,-388,-609,-535,-535,-572,-407,-653,-759,c
-407,-512,-683,-512,-646,-646,-793,-793,-903,-940,-462,-499,-719,-683,-756,-425,-723,-794,-1040,c
-583,-618,-830,-618,-793,-683,-940,-830,-940,-830,-572,-462,-719,-609,-683,-572,-512,-723,-794,c
-653,-653,-793,-618,-793,-609,-609,-719,-609,-609,-462,-499,-462,-609,-499,-425,-618,-794,-653,c
-653,-864,-683,-688,-683,-683,-756,-793,-683,-683,-646,-683,-646,-683,-646,-315,-864,-723,-723,c
-864,-829,-756,-723,-719,-609,-572,-683,-388,-388,-499,-572,-388,-499,-241,-278,-512,-512,-442,c
-723,-899,-535,-583,-499,-535,-462,-646,-388,-315,-388,-683,-278,-609,-351,-131,-829,-583,-653,c
-794,-970,-572,-618,-499,-535,-535,-572,-462,-278,-425,-499,-241,-388,-278,-241,-653,-371,-407,c
-829,-829,-499,-512,-425,-315,-131,-388,-94,-278,-241,-351,52,-204,16,-94,-583,-231,-195,c
-759,-899,-315,-442,-241,-278,-204,-351,-241,-351,-388,-499,-57,-278,-131,-20,-794,-160,-266,c
-899,-794,-351,-407,-241,-167,-57,-204,-94,-94,-315,-315,126,-57,200,-57,-371,50,85,c
-653,-723,-94,-231,-20,-57,126,-131,-20,16,-167,-315,236,-167,126,163,-547,-125,-55,c
-583,-723,-131,-266,-20,-57,-57,-94,-57,200,-241,-241,163,-20,52,89,-407,-19,85,c
-583,-547,-94,-195,-20,89,273,89,310,347,-20,-94,384,126,347,236,-231,121,332,c
-371,-512,126,-55,200,126,200,89,163,16,-57,-204,273,16,163,384,-442,121,121,c
-477,-407,16,-55,126,200,236,163,273,200,16,52,420,236,420,236,-19,332,508,c
-301,-301,236,85,310,273,457,310,531,568,163,16,568,126,420,384,-160,191,473,c
-231,-371,200,50,273,200,310,347,457,494,16,-20,384,126,347,347,-160,332,578,c
-301,-160,126,121,163,384,604,604,752,568,236,126,604,310,752,420,85,508,825,c
-125,-231,347,226,347,384,604,641,604,531,163,-20,531,163,531,568,-231,402,649,c
-266,-195,200,121,273,347,531,752,641,862,126,126,568,420,678,420,121,578,1001,c
-125,-55,384,191,420,457,788,936,862,1083,347,163,715,347,715,641,15,473,965,c
-19,-195,420,156,457,384,604,936,825,1156,200,89,494,347,568,788,-55,437,895,c
-125,-55,273,121,384,494,825,1009,1193,1377,347,236,678,531,899,936,261,543,1141,c
15,-90,494,226,531,494,862,936,1083,1377,310,52,604,347,788,1156,-90,367,860,c
-55,-90,347,156,420,457,788,972,1120,1488,273,200,604,494,972,1046,261,508,1001,c
50,121,420,226,420,531,972,1009,1377,1377,457,347,788,604,1120,1156,332,508,930,c
226,121,568,332,531,568,715,936,1083,972,347,273,531,641,788,1083,191,543,754,c
121,261,457,402,420,715,788,972,1156,972,420,494,715,899,1046,972,543,754,1001,c
297,297,715,508,604,752,825,899,1046,1009,420,384,715,715,825,1120,261,613,719,c
226,332,604,437,531,715,641,825,936,1009,347,531,604,862,788,972,473,789,789,c
226,508,641,543,531,862,862,862,1083,899,568,678,715,972,972,1009,543,754,860,c
402,437,752,578,641,825,641,752,788,788,457,604,494,825,604,1046,332,684,649,c
297,508,604,508,457,899,641,788,936,936,494,752,568,1009,788,899,684,789,860,c
473,578,752,613,568,899,715,752,899,862,604,678,568,862,641,972,402,684,578,c
473,578,641,543,494,825,420,641,641,604,531,715,420,936,531,715,473,754,578,c
437,649,568,543,457,899,568,678,862,678,715,862,641,1046,715,752,649,719,719,c
578,578,715,578,568,825,457,568,678,752,604,641,420,788,457,899,332,578,437,c
402,649,531,508,420,825,457,568,715,678,568,788,384,972,641,641,719,789,684,c
508,754,752,684,531,899,641,604,788,494,678,752,420,825,568,678,508,719,543,c
473,649,715,578,531,788,384,494,604,568,494,752,163,678,420,715,508,719,543,c
367,789,641,613,457,899,604,604,862,641,678,936,384,825,678,715,754,860,754,c
508,719,788,684,568,899,531,494,641,420,604,788,273,678,420,752,437,754,508,c
402,754,641,578,457,862,494,568,678,568,531,862,273,825,531,531,754,930,789,c
473,789,752,649,568,972,641,641,825,604,641,788,420,752,641,678,613,860,719,c
508,684,788,578,641,899,384,531,568,568,420,678,163,641,457,641,508,860,613,c
367,754,641,543,531,972,568,641,788,678,568,825,310,788,715,604,754,1001,860,c
508,649,825,613,641,936,531,568,678,457,531,641,200,568,457,715,367,789,578,c
367,613,641,473,420,862,347,568,641,604,420,715,89,715,457,641,613,789,719,c
402,613,715,473,457,899,494,641,862,788,604,641,163,715,568,788,508,649,684,c
